2024-06-11 14:03:02,265 - INFO - Starting Supertrend calculation
2024-06-11 14:03:02,299 - INFO - 
Calculated basic upper and lower bands:
                 Ticker        Date      Time      Open      High       Low     Close  Volume  Open Interest            DateTime        hl2      tr     atr  basic_upper_band  basic_lower_band
29   NIFTY BANK.NSE_IDX  03/01/2024  09:34:59  47567.90  47571.50  47547.80  47555.50       0              0 2024-03-01 09:34:59  47559.650   26.55  30.405         47650.865         47468.435
30   NIFTY BANK.NSE_IDX  03/01/2024  09:35:59  47548.35  47564.90  47543.15  47554.95       0              0 2024-03-01 09:35:59  47554.025   21.75  30.140         47644.445         47463.605
31   NIFTY BANK.NSE_IDX  03/01/2024  09:36:59  47555.20  47557.60  47534.25  47534.85       0              0 2024-03-01 09:36:59  47545.925   23.35  30.350         47636.975         47454.875
32   NIFTY BANK.NSE_IDX  03/01/2024  09:37:59  47528.90  47538.15  47512.05  47526.55       0              0 2024-03-01 09:37:59  47525.100   26.10  29.485         47613.555         47436.645
33   NIFTY BANK.NSE_IDX  03/01/2024  09:38:59  47522.85  47534.15  47516.85  47524.20       0              0 2024-03-01 09:38:59  47525.500   17.30  28.620         47611.360         47439.640
34   NIFTY BANK.NSE_IDX  03/01/2024  09:39:59  47524.15  47531.15  47502.80  47524.00       0              0 2024-03-01 09:39:59  47516.975   28.35  25.375         47593.100         47440.850
35   NIFTY BANK.NSE_IDX  03/01/2024  09:40:59  47524.95  47538.45  47523.00  47527.95       0              0 2024-03-01 09:40:59  47530.725   15.45  22.610         47598.555         47462.895
36   NIFTY BANK.NSE_IDX  03/01/2024  09:41:59  47521.05  47532.15  47513.20  47519.60       0              0 2024-03-01 09:41:59  47522.675   18.95  22.445         47590.010         47455.340
37   NIFTY BANK.NSE_IDX  03/01/2024  09:42:59  47520.45  47526.15  47498.15  47515.40       0              0 2024-03-01 09:42:59  47512.150   28.00  23.045         47581.285         47443.015
38   NIFTY BANK.NSE_IDX  03/01/2024  09:43:59  47518.60  47523.65  47500.65  47506.30       0              0 2024-03-01 09:43:59  47512.150   23.00  22.880         47580.790         47443.510
39   NIFTY BANK.NSE_IDX  03/01/2024  09:44:59  47502.95  47509.55  47488.95  47497.10       0              0 2024-03-01 09:44:59  47499.250   20.60  22.285         47566.105         47432.395
40   NIFTY BANK.NSE_IDX  03/01/2024  09:45:59  47489.40  47513.75  47481.35  47511.35       0              0 2024-03-01 09:45:59  47497.550   32.40  23.350         47567.600         47427.500
41   NIFTY BANK.NSE_IDX  03/01/2024  09:46:59  47507.20  47521.60  47503.10  47516.00       0              0 2024-03-01 09:46:59  47512.350   18.50  22.865         47580.945         47443.755
42   NIFTY BANK.NSE_IDX  03/01/2024  09:47:59  47516.10  47525.70  47508.40  47520.50       0              0 2024-03-01 09:47:59  47517.050   17.30  21.985         47583.005         47451.095
43   NIFTY BANK.NSE_IDX  03/01/2024  09:48:59  47523.30  47526.90  47512.60  47520.00       0              0 2024-03-01 09:48:59  47519.750   14.30  21.685         47584.805         47454.695
44   NIFTY BANK.NSE_IDX  03/01/2024  09:49:59  47516.50  47540.55  47515.75  47540.55       0              0 2024-03-01 09:49:59  47528.150   24.80  21.330         47592.140         47464.160
45   NIFTY BANK.NSE_IDX  03/01/2024  09:50:59  47535.80  47556.75  47531.60  47536.50       0              0 2024-03-01 09:50:59  47544.175   25.15  22.300         47611.075         47477.275
46   NIFTY BANK.NSE_IDX  03/01/2024  09:51:59  47534.50  47554.30  47520.45  47549.20       0              0 2024-03-01 09:51:59  47537.375   33.85  23.790         47608.745         47466.005
47   NIFTY BANK.NSE_IDX  03/01/2024  09:52:59  47552.90  47560.85  47538.50  47558.85       0              0 2024-03-01 09:52:59  47549.675   22.35  23.225         47619.350         47480.000
48   NIFTY BANK.NSE_IDX  03/01/2024  09:53:59  47560.50  47567.45  47547.30  47556.85       0              0 2024-03-01 09:53:59  47557.375   20.15  22.940         47626.195         47488.555
